Simbolo,N,Volumen_acum,Volumen,Tipo_Vela,Cantidad_FVGs,N_FVGs_Falta,%_Cumplimiento_FVG,Ultimo_FVG_Falta,Rupt_Mechas_Alcistas,Rupt_Mechas_Bajistas,Rupt_Velas_Alcistas,Rupt_Velas_Bajistas,Iteraciones,Min_Low,Max_High,Precio_Actual,Porcentaje_Alcista,Porcentaje_Bajista,Diferencia_Porcentajes,Total_Swing_Alcistas,Total_Swing_Bajistas,Fecha_Ultimo_Swing_Alcista,Precio_Ultimo_Swing_Alcista,Fecha_Ultimo_Swing_Bajista,Precio_Ultimo_Swing_Bajista,Tendencia_MM,DuracionTrendMM_Close_SMA_200,Tendencia_PullBack,DuracionTrendMM_Close_EMA_20,%K,%D,Duracion_Estocastico,Estocastico_Senal
AXLUSDT,490,4166808944.4700003,4137396.38,"['N/A', 'N/A', 'Hang_Man', 'N/A', 'N/A']",97,2,97.94,"[('Alcista', 57), ('Alcista', 280)]",0,1,0,0,31,0.285,0.464,0.3131,264.1,13.7,250.3992334717343,114,108,2025-09-22 17:59:59.999,0.2788,2025-09-23 17:59:59.999,0.3272,Bajista,59,Bajista,4,47.90502793296089,44.06112431059457,18.0,Neutro
WIFUSDT,490,39554267611.53,19867753.16,"['Doji', 'N/A', 'N/A', 'N/A', 'N/A']",110,5,95.45,"[('Alcista', 2), ('Bajista', 139), ('Bajista', 154)]",0,0,0,0,24,0.73,1.325,0.798,505.24,61.9,443.3333333333332,100,105,2025-09-15 17:59:59.999,0.859,2025-09-21 17:59:59.999,0.915,Alcista,1,Bajista,6,16.170212765957462,10.634247224985659,3.0,Sobre-venta
METISUSDT,490,57871700.705,51667.693,"['Doji', 'N/A', 'N/A', 'Doji', 'N/A']",113,3,97.35,"[('Alcista', 4), ('Alcista', 259), ('Alcista', 473)]",0,0,0,3,46,14.21,21.22,13.54,525.63,14.03,511.5952732644017,112,104,2025-09-23 17:59:59.999,12.91,2025-09-19 17:59:59.999,17.54,Bajista,32,Bajista,6,13.606911447084213,10.178166138865775,4.0,Sobre-venta
AEVOUSDT,490,13968552687.130001,71178510.91,"['N/A', 'Martillo_Inv', 'N/A', 'N/A', 'N/A']",101,7,93.07,"[('Bajista', 15), ('Alcista', 233), ('Alcista', 234)]",1,0,0,0,24,0.0829,0.1264,0.1061,962.21,36.85,925.3534401508011,106,98,2025-09-20 17:59:59.999,0.0945,2025-09-21 17:59:59.999,0.1534,Alcista,1,Alcista,5,24.077046548956655,25.35639217727784,1.0,Neutro
BOMEUSDT,490,3413755161305.0,2006734888.0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",106,5,95.28,"[('Alcista', 1), ('Bajista', 158), ('Bajista', 159)]",0,1,0,0,50,0.00165,0.002593,0.001721,828.07,48.29,779.7791981406159,110,105,2025-09-19 17:59:59.999,0.001989,2025-09-21 17:59:59.999,0.002066,Bajista,3,Bajista,6,11.714285714285722,7.915437269874197,4.0,Sobre-venta
ETHFIUSDT,490,9757710422.4,24420706.1,"['N/A', 'N/A', 'Hang_Man', 'Doji', 'N/A']",103,6,94.17,"[('Bajista', 138), ('Bajista', 139), ('Bajista', 157)]",2,0,0,0,8,0.903,1.677,1.602,237.08,75.09,161.98501872659173,115,111,2025-09-22 17:59:59.999,1.217,2025-09-19 17:59:59.999,1.695,Alcista,50,Alcista,20,80.5439330543933,61.75502439389326,1.0,Sobre-compra-K
ENAUSDT,490,82170831059.55,99649426.84,"['N/A', 'N/A', 'N/A', 'Doji', 'Doji']",110,7,93.64,"[('Alcista', 1), ('Alcista', 2), ('Alcista', 4)]",0,0,0,0,16,0.4244,0.8727,0.6007,121.41,67.7,53.704011986016326,107,108,2025-09-22 17:59:59.999,0.5652,2025-09-17 17:59:59.999,0.7217,Alcista,67,Bajista,10,15.22951522951522,13.41278236758817,6.0,Sobre-venta
WUSDT,490,33531037209.1,138739032.1,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",99,7,92.93,"[('Bajista', 14), ('Bajista', 15), ('Bajista', 76)]",2,0,5,0,15,0.0701,0.108,0.1062,619.4,52.92,566.4783427495292,110,107,2025-09-22 17:59:59.999,0.098,2025-09-20 17:59:59.999,0.1293,Alcista,15,Alcista,17,47.855530474040634,42.508572377591655,4.0,Neutro
TNSRUSDT,490,6719689656.4,5924260.1,"['N/A', 'Estrella_Fug', 'N/A', 'N/A', 'N/A']",103,12,88.35,"[('Alcista', 9), ('Alcista', 189), ('Alcista', 191)]",0,0,0,3,24,0.1068,0.168,0.1042,1335.7,10.84,1324.856046065259,107,112,2025-09-19 17:59:59.999,0.1126,2025-09-21 17:59:59.999,0.1193,Bajista,200,Bajista,6,16.875000000000007,10.37421970190112,4.0,Sobre-venta
SAGAUSDT,490,8153350939.3,7094007.5,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",113,5,95.58,"[('Alcista', 233), ('Alcista', 234), ('Alcista', 247)]",0,0,0,3,24,0.2211,0.343,0.2204,1464.84,16.74,1448.0943738656986,109,108,2025-09-19 17:59:59.999,0.2435,2025-09-21 17:59:59.999,0.27,Bajista,282,Bajista,4,16.042780748663116,10.14934820920507,3.0,Sobre-venta
USDTMXN,490,364370743.0,342602.0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",50,3,94.0,"[('Alcista', 12), ('Alcista', 15), ('Alcista', 92)]",0,0,0,0,8,18.25,19.04,18.47,20.74,13.37,7.363291824580418,96,95,2025-09-23 17:59:59.999,18.34,2025-09-22 17:59:59.999,18.5,Bajista,164,Bajista,18,51.16279069767419,40.01057082452425,6.0,Neutro
TAOUSDT,490,52841388.2191,57207.4803,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",107,6,94.39,"[('Alcista', 1), ('Alcista', 2), ('Alcista', 57)]",0,1,0,0,24,301.8,461.4,314.8,137.71,48.0,89.707750952986,106,112,2025-09-22 17:59:59.999,300.0,2025-09-21 17:59:59.999,348.7,Bajista,4,Bajista,5,20.301783264746252,19.06721536351165,2.0,Sobre-venta-D
OMNIUSDT,490,581336704.88,553562.78,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",104,4,96.15,"[('Bajista', 5), ('Bajista', 75), ('Bajista', 76)]",0,0,0,0,58,2.26,7.82,4.11,455.47,66.67,388.8077858880779,107,105,2025-09-22 17:59:59.999,3.81,2025-09-22 17:59:59.999,4.9,Alcista,58,Alcista,15,49.68152866242039,56.51490991893723,5.0,Neutro
REZUSDT,490,133907721369.0,551705510.3,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",100,5,95.0,"[('Bajista', 76), ('Alcista', 279), ('Alcista', 280)]",0,0,0,0,21,0.01074,0.01683,0.0123,1419.51,43.25,1376.260162601626,116,117,2025-09-22 17:59:59.999,0.01088,2025-09-21 17:59:59.999,0.01399,Bajista,33,Alcista,1,44.6808510638298,26.62201208300497,1.0,Neutro
BBUSDT,490,20488621816.5,117607752.5,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",110,7,93.64,"[('Bajista', 6), ('Bajista', 76), ('Alcista', 248)]",0,0,7,0,8,0.0896,0.1912,0.2362,272.1,69.14,202.96359017781546,107,100,2025-09-22 17:59:59.999,0.1811,2025-09-21 17:59:59.999,0.2521,Alcista,36,Alcista,20,85.0,68.41107132289447,1.0,Sobre-compra-K
NOTUSDT,490,2966708319518.0,744886187.0,"['N/A', 'N/A', 'N/A', 'N/A', 'Doji']",100,6,94.0,"[('Alcista', 1), ('Alcista', 2), ('Alcista', 234)]",0,0,0,3,24,0.00168,0.002526,0.001653,1678.58,7.99,1670.5989110707803,115,105,2025-09-22 17:59:59.999,0.001521,2025-09-21 17:59:59.999,0.001876,Bajista,290,Bajista,6,24.581005586592173,23.27746741154563,1.0,Neutro
