Simbolo,N,Tipo_Vela,Cantidad_FVGs,N_FVGs_Falta,%_Cumplimiento_FVG,Ultimo_FVG_Falta,Rupt_Mechas_Alcistas,Rupt_Mechas_Bajistas,Rupt_Velas_Alcistas,Rupt_Velas_Bajistas,Iteraciones,Min_Low,Max_High,Precio_Actual,Porcentaje_Alcista,Porcentaje_Bajista,Diferencia_Porcentajes,Total_Swing_Alcistas,Total_Swing_Bajistas,Fecha_Ultimo_Swing_Alcista,Precio_Ultimo_Swing_Alcista,Fecha_Ultimo_Swing_Bajista,Precio_Ultimo_Swing_Bajista,Tendencia_MM,DuracionTrendMM_Close_SMA_200,Tendencia_PullBack,DuracionTrendMM_Close_EMA_20,%K,%D,Duracion_Estocastico,Estocastico_Senal
XVGUSDT,588,"['N/A', 'N/A', 'N/A']",104,7,93.27,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 23)]",0,0,0,0,28,0.005502,0.00642,0.005978,43.79,30.03,13.767146202743394,128,133,2025-09-17 13:59:59.999,0.005634,2025-09-17 17:59:59.999,0.006036,Alcista,2,Alcista,3,86.12440191387563,88.5027196182084,3.0,Sobre-compra
ATAUSDT,588,"['N/A', 'N/A', 'N/A']",124,9,92.74,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 21)]",0,0,0,0,15,0.0432,0.0501,0.0459,37.25,23.31,13.943355119825696,99,104,2025-09-17 13:59:59.999,0.0439,2025-09-17 17:59:59.999,0.0465,Bajista,18,Alcista,2,79.31034482758633,82.89020472928523,3.0,Sobre-compra-D
GTCUSDT,588,"['N/A', 'N/A', 'N/A']",90,6,93.33,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 206)]",0,0,0,0,28,0.333,0.384,0.361,51.25,46.26,4.986149584487563,105,106,2025-09-17 13:59:59.999,0.34,2025-09-17 17:59:59.999,0.366,Alcista,10,Alcista,3,81.48148148148144,88.6244986668459,3.0,Sobre-compra
PHAUSDT,588,"['N/A', 'N/A', 'N/A']",112,2,98.21,"[('Bajista', 0), ('Bajista', 1)]",0,0,0,0,15,0.1014,0.1138,0.1083,35.73,22.99,12.742382271468152,123,120,2025-09-17 13:59:59.999,0.1025,2025-09-17 17:59:59.999,0.109,Bajista,25,Alcista,3,89.23076923076914,90.7679727349664,3.0,Sobre-compra
MLNUSDT,588,"['N/A', 'N/A', 'N/A']",96,3,96.88,"[('Bajista', 0), ('Bajista', 1), ('Bajista', 440)]",0,0,0,0,15,7.65,8.51,8.15,42.33,19.39,22.94478527607361,115,115,2025-09-17 13:59:59.999,7.76,2025-09-16 21:59:59.999,8.05,Bajista,25,Alcista,3,93.75000000000013,95.77614379084962,3.0,Sobre-compra
DEXEUSDT,588,"['Doji', 'N/A', 'N/A']",92,4,95.65,"[('Alcista', 105), ('Alcista', 106), ('Alcista', 232)]",1,1,0,0,51,6.813,7.325,7.072,33.63,29.64,3.9875565610859596,149,139,2025-09-17 01:59:59.999,6.731,2025-09-17 05:59:59.999,7.353,Bajista,4,Alcista,5,54.82315112540197,63.34405144694535,4.0,Neutro
C98USDT,588,"['N/A', 'N/A', 'N/A']",113,5,95.58,"[('Bajista', 0), ('Bajista', 422), ('Bajista', 423)]",0,0,0,0,12,0.0478,0.0549,0.0512,28.13,33.01,4.882812500000007,119,105,2025-09-17 13:59:59.999,0.0483,2025-09-17 17:59:59.999,0.0518,Alcista,3,Alcista,3,85.00000000000007,87.70833333333341,3.0,Sobre-compra
QNTUSDT,588,"['N/A', 'N/A', 'N/A']",116,4,96.55,"[('Bajista', 0), ('Alcista', 290), ('Alcista', 310)]",0,0,0,0,28,96.88,105.58,101.52,33.55,15.76,17.78959810874706,132,130,2025-09-17 13:59:59.999,99.28,2025-09-17 05:59:59.999,101.73,Bajista,28,Alcista,2,72.5333333333333,79.31957146795848,1.0,Neutro
FLOWUSDT,588,"['N/A', 'N/A', 'N/A']",104,4,96.15,"[('Bajista', 0), ('Bajista', 1), ('Bajista', 134)]",0,0,0,0,26,0.393,0.435,0.411,11.44,29.68,18.248175182481745,96,91,2025-09-17 13:59:59.999,0.393,2025-09-17 17:59:59.999,0.413,Alcista,3,Alcista,2,89.99999999999997,86.53846153846153,3.0,Sobre-compra
MINAUSDT,588,"['N/A', 'N/A', 'N/A']",125,5,96.0,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 23)]",0,0,0,0,12,0.178,0.2005,0.1883,31.55,22.52,9.028146574614986,126,122,2025-09-17 13:59:59.999,0.1789,2025-09-17 17:59:59.999,0.1895,Alcista,3,Alcista,3,89.5652173913043,90.80168776371302,3.0,Sobre-compra
