Simbolo,N,Volumen_acum,Volumen,Tipo_Vela,Cantidad_FVGs,N_FVGs_Falta,%_Cumplimiento_FVG,Ultimo_FVG_Falta,Rupt_Mechas_Alcistas,Rupt_Mechas_Bajistas,Rupt_Velas_Alcistas,Rupt_Velas_Bajistas,Iteraciones,Min_Low,Max_High,Precio_Actual,Porcentaje_Alcista,Porcentaje_Bajista,Diferencia_Porcentajes,Total_Swing_Alcistas,Total_Swing_Bajistas,Fecha_Ultimo_Swing_Alcista,Precio_Ultimo_Swing_Alcista,Fecha_Ultimo_Swing_Bajista,Precio_Ultimo_Swing_Bajista,Tendencia_MM,DuracionTrendMM_Close_SMA_200,Tendencia_PullBack,DuracionTrendMM_Close_EMA_20,%K,%D,Duracion_Estocastico,Estocastico_Senal
OPUSDT,480,116597819.72,18132.96,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",104,7,93.27,"[('Alcista', 5), ('Alcista', 159), ('Bajista', 288)]",0,0,0,0,18,0.7916,0.8263,0.8069,6.09,9.29,3.209815342669467,102,94,2025-09-20 13:14:59.999,0.8045,2025-09-20 13:29:59.999,0.8088,Bajista,7,Bajista,7,14.999999999999721,17.86549707602319,7.0,Sobre-venta
STGUSDT,480,39210929.2,24008.7,"['N/A', 'Hang_Man', 'N/A', 'Cuerpo_Lleno', 'N/A']",140,9,93.57,"[('Dentro', 0), ('Bajista', 1), ('Alcista', 9)]",0,0,0,0,13,0.1686,0.1744,0.1731,4.79,7.91,3.1195840554592813,82,66,2025-09-20 12:59:59.999,0.1717,2025-09-20 12:44:59.999,0.1728,Bajista,11,Alcista,2,51.85185185185216,44.44444444444455,2.0,Neutro
LUNCUSDT,480,199390178498.95,93298703.48,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",99,3,96.97,"[('Bajista', 67), ('Alcista', 136), ('Bajista', 443)]",0,0,0,0,19,5.951e-05,6.046e-05,5.978e-05,4.87,2.49,2.375376380060215,93,90,2025-09-20 12:59:59.999,5.967e-05,2025-09-20 13:29:59.999,5.989e-05,Bajista,137,Bajista,8,21.568627450979843,25.52287581699299,2.0,Neutro
GMXUSDT,480,666041.675,590.973,"['N/A', 'N/A', 'N/A', 'N/A', 'Cuerpo_Lleno']",129,8,93.8,"[('Bajista', 0), ('Bajista', 19), ('Bajista', 20)]",0,0,0,0,15,15.19,16.22,16.16,3.59,8.73,5.136138613861397,83,81,2025-09-20 12:59:59.999,15.94,2025-09-20 12:44:59.999,16.21,Alcista,23,Alcista,28,84.84848484848465,59.65537730243591,1.0,Sobre-compra-K
POLYXUSDT,480,54387395.0,6927.9,"['N/A', 'N/A', 'N/A', 'N/A', 'Cuerpo_Lleno']",125,4,96.8,"[('Dentro', 0), ('Bajista', 1), ('Alcista', 398)]",0,0,0,0,18,0.1341,0.137,0.1352,6.36,3.03,3.3284023668639295,82,77,2025-09-20 12:14:59.999,0.1349,2025-09-20 13:29:59.999,0.1354,Bajista,131,Bajista,10,23.529411764704825,20.123839009287778,1.0,Neutro
APTUSDT,480,26003846.18,22470.94,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",109,4,96.33,"[('Bajista', 0), ('Bajista', 279), ('Bajista', 280)]",0,0,0,0,47,4.54,4.73,4.621,3.4,6.41,3.008006924908052,91,94,2025-09-20 13:14:59.999,4.591,2025-09-20 11:29:59.999,4.719,Bajista,5,Bajista,5,23.43750000000017,18.74999999999976,5.0,Sobre-venta-D
OSMOUSDT,480,17014592.33,4065.52,"['Hang_Man', 'N/A', 'N/A', 'N/A', 'Martillo']",60,1,98.33,"[('Bajista', 0)]",0,0,0,0,18,0.1575,0.1618,0.16,4.38,1.94,2.437500000000009,87,87,2025-09-20 13:14:59.999,0.1585,2025-09-20 12:59:59.999,0.1603,Bajista,17,Bajista,7,50.0,40.32258064516113,3.0,Neutro
HFTUSDT,480,106585118.80000001,195241.2,"['N/A', 'N/A', 'Cuerpo_Lleno', 'N/A', 'N/A']",107,5,95.33,"[('Dentro', 0), ('Bajista', 1), ('Bajista', 19)]",0,0,2,0,18,0.0849,0.0907,0.0908,4.3,7.27,2.9735682819383342,66,85,2025-09-20 12:59:59.999,0.0891,2025-09-20 13:29:59.999,0.0914,Alcista,20,Alcista,26,75.00000000000043,81.66666666666703,3.0,Sobre-compra-D
PHBUSDT,480,8805158.600000001,348.9,"['N/A', 'N/A', 'Hang_Man', 'Cuerpo_Lleno', 'Cuerpo_Lleno']",91,2,97.8,"[('Alcista', 160), ('Alcista', 164)]",0,0,0,0,18,0.562,0.578,0.572,5.24,4.72,0.5244755244755437,66,66,2025-09-20 12:14:59.999,0.57,2025-09-20 10:44:59.999,0.575,Bajista,142,Alcista,2,57.14285714285714,42.85714285714287,2.0,Neutro
HOOKUSDT,480,84650814.0,36399.2,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",97,2,97.94,"[('Dentro', 0), ('Bajista', 67)]",0,0,0,0,18,0.109,0.1159,0.1139,3.16,7.55,4.389815627743639,76,75,2025-09-20 13:14:59.999,0.1133,2025-09-20 12:29:59.999,0.1146,Alcista,22,Alcista,2,50.0000000000005,44.117647058823565,4.0,Neutro
MAGICUSDT,480,72630530.5,9277.4,"['N/A', 'N/A', 'Martillo', 'N/A', 'N/A']",110,3,97.27,"[('Alcista', 6), ('Alcista', 160), ('Alcista', 256)]",0,0,0,0,18,0.2005,0.2078,0.2044,8.12,3.18,4.9412915851272015,96,91,2025-09-20 12:59:59.999,0.2037,2025-09-20 11:44:59.999,0.2063,Bajista,138,Bajista,7,21.212121212121417,23.232323232323196,2.0,Neutro
RPLUSDT,480,1003626.0900000001,194.85,"['N/A', 'Doji', 'N/A', 'N/A', 'Cuerpo_Lleno']",95,4,95.79,"[('Dentro', 0), ('Bajista', 1), ('Alcista', 135)]",0,0,0,0,34,6.17,6.34,6.23,11.08,1.44,9.630818619582644,80,72,2025-09-20 12:59:59.999,6.19,2025-09-20 13:29:59.999,6.25,Bajista,151,Bajista,8,36.36363636363658,33.333333333333336,2.0,Neutro
GNSUSDT,480,727831.8,931.82,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",77,5,93.51,"[('Bajista', 19), ('Alcista', 114), ('Alcista', 115)]",0,0,0,0,18,2.135,2.189,2.171,8.71,2.26,6.4486411791801075,86,89,2025-09-20 12:14:59.999,2.169,2025-09-20 13:29:59.999,2.174,Bajista,161,Bajista,5,31.818181818180623,27.272727272726538,2.0,Neutro
SYNUSDT,480,42153222.099999994,1060.0,"['N/A', 'N/A', 'Martillo', 'N/A', 'Cuerpo_Lleno']",113,3,97.35,"[('Alcista', 160), ('Alcista', 273), ('Bajista', 442)]",0,0,0,0,18,0.1272,0.1319,0.1301,6.99,4.3,2.690238278247505,97,84,2025-09-20 13:14:59.999,0.1295,2025-09-20 13:29:59.999,0.1303,Bajista,18,Bajista,5,33.333333333332824,31.111111111110592,4.0,Neutro
SSVUSDT,480,1551571.478,256.901,"['N/A', 'Martillo', 'Martillo', 'N/A', 'N/A']",118,5,95.76,"[('Dentro', 0), ('Alcista', 5), ('Alcista', 6)]",0,0,0,0,18,9.137,9.514,9.325,8.54,3.38,5.15817694369975,104,109,2025-09-20 12:59:59.999,9.281,2025-09-20 11:44:59.999,9.412,Bajista,17,Bajista,7,24.04371584699385,22.031665966091754,1.0,Neutro
LQTYUSDT,480,13935168.899999999,46653.7,"['N/A', 'N/A', 'Cuerpo_Lleno', 'Cuerpo_Lleno', 'N/A']",109,9,91.74,"[('Bajista', 0), ('Alcista', 9), ('Alcista', 81)]",0,0,0,0,37,0.893,0.931,0.909,4.07,14.3,10.231023102310239,78,80,2025-09-20 13:14:59.999,0.899,2025-09-20 10:44:59.999,0.918,Bajista,11,Alcista,1,52.63157894736842,29.82456140350875,1.0,Neutro
USTCUSDT,480,744344252.0,142430.0,"['Cuerpo_Lleno', 'N/A', 'N/A', 'N/A', 'N/A']",105,0,100.0,[],0,1,0,5,36,0.01305,0.01336,0.01304,4.14,3.45,0.6901840490797668,90,71,2025-09-20 12:59:59.999,0.013,2025-09-20 12:14:59.999,0.01311,Bajista,11,Bajista,11,23.529411764705944,20.541549953314703,1.0,Neutro
GASUSDT,480,897623.7000000001,271.7,"['N/A', 'Martillo', 'N/A', 'N/A', 'N/A']",112,6,94.64,"[('Dentro', 0), ('Bajista', 1), ('Bajista', 19)]",0,0,0,0,18,3.236,3.289,3.269,3.76,1.62,2.141327623126333,87,89,2025-09-20 12:14:59.999,3.262,2025-09-20 12:29:59.999,3.274,Bajista,161,Bajista,5,29.629629629629996,25.925925925926084,2.0,Neutro
GLMUSDT,480,11690833.100000001,6667.9,"['N/A', 'N/A', 'N/A', 'Cuerpo_Lleno', 'N/A']",142,6,95.77,"[('Dentro', 0), ('Bajista', 1), ('Bajista', 20)]",0,0,0,0,18,0.2378,0.2424,0.2408,4.57,2.49,2.076411960132916,90,86,2025-09-20 12:14:59.999,0.2401,2025-09-20 11:44:59.999,0.2411,Bajista,151,Alcista,2,47.058823529411285,42.002063983488306,2.0,Neutro
PROMUSDT,480,3847918.9799999995,1149.78,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",94,18,80.85,"[('Alcista', 22), ('Alcista', 41), ('Alcista', 42)]",0,1,0,2,8,9.54,10.151,9.567,29.14,3.85,25.29528587854082,119,102,2025-09-20 12:29:59.999,9.493,2025-09-20 11:44:59.999,9.598,Bajista,264,Bajista,59,56.06060606060608,51.66369578134303,5.0,Neutro
QKCUSDT,480,150529275.0,118033.0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",76,1,98.68,"[('Bajista', 0)]",0,0,0,0,13,0.006676,0.006799,0.006755,3.43,1.61,1.8208734270910538,110,100,2025-09-20 13:14:59.999,0.006714,2025-09-20 12:44:59.999,0.006773,Bajista,7,Alcista,1,48.23529411764632,36.47058823529349,2.0,Neutro
IDUSDT,480,46463509.0,70117.0,"['Cuerpo_Lleno', 'N/A', 'Martillo', 'N/A', 'N/A']",123,3,97.56,"[('Bajista', 0), ('Alcista', 163), ('Alcista', 164)]",0,0,0,0,19,0.1618,0.1686,0.1678,4.65,6.91,2.2646007151370666,72,87,2025-09-20 12:59:59.999,0.1658,2025-09-20 12:29:59.999,0.167,Bajista,11,Alcista,2,80.0,53.33333333333335,2.0,Neutro
ARBUSDT,480,432562913.9,65951.1,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",88,4,95.45,"[('Bajista', 0), ('Alcista', 115), ('Alcista', 152)]",0,0,0,0,18,0.4864,0.4999,0.492,8.78,1.69,7.093495934959359,104,98,2025-09-20 12:59:59.999,0.4892,2025-09-20 13:29:59.999,0.493,Bajista,138,Bajista,8,31.111111111110933,27.933094384707143,2.0,Neutro
RDNTUSDT,480,187525164.0,49721.0,"['N/A', 'N/A', 'Martillo', 'N/A', 'N/A']",118,3,97.46,"[('Alcista', 160), ('Bajista', 441), ('Bajista', 442)]",0,0,0,0,15,0.02124,0.0219,0.02162,4.86,5.78,0.9250693802035252,93,97,2025-09-20 11:29:59.999,0.02167,2025-09-20 13:29:59.999,0.02169,Bajista,7,Bajista,5,11.111111111110683,18.757467144563645,1.0,Sobre-venta
