Simbolo,N,Volumen_acum,Volumen,Tipo_Vela,Cantidad_FVGs,N_FVGs_Falta,%_Cumplimiento_FVG,Ultimo_FVG_Falta,Rupt_Mechas_Alcistas,Rupt_Mechas_Bajistas,Rupt_Velas_Alcistas,Rupt_Velas_Bajistas,Iteraciones,Min_Low,Max_High,Precio_Actual,Porcentaje_Alcista,Porcentaje_Bajista,Diferencia_Porcentajes,Total_Swing_Alcistas,Total_Swing_Bajistas,Fecha_Ultimo_Swing_Alcista,Precio_Ultimo_Swing_Alcista,Fecha_Ultimo_Swing_Bajista,Precio_Ultimo_Swing_Bajista,Tendencia_MM,DuracionTrendMM_Close_SMA_200,Tendencia_PullBack,DuracionTrendMM_Close_EMA_20,%K,%D,Duracion_Estocastico,Estocastico_Senal
EGLDUSDT,480,897737.12,37.39,"['N/A', 'Martillo_Inv', 'N/A']",97,3,96.91,"[('Dentro', 0), ('Bajista', 1), ('Bajista', 202)]",0,0,0,0,28,14.04,14.72,14.19,5.29,3.95,1.3389711064129766,85,75,2025-09-19 15:14:59.999,14.11,2025-09-19 13:44:59.999,14.27,Bajista,31,Alcista,1,50.0,47.12301587301594,9.0,Neutro
DIAUSDT,480,4657765.9,366.1,"['Cuerpo_Lleno', 'Cuerpo_Lleno', 'N/A']",134,8,94.03,"[('Dentro', 0), ('Bajista', 1), ('Alcista', 8)]",0,1,0,0,28,0.6976,0.7366,0.7022,6.68,2.09,4.585588151523766,105,105,2025-09-19 15:14:59.999,0.6968,2025-09-19 14:44:59.999,0.7032,Bajista,43,Bajista,1,62.06896551724191,56.24768261030808,3.0,Neutro
RUNEUSDT,480,28410963.4,14348.4,"['N/A', 'N/A', 'N/A']",81,6,92.59,"[('Alcista', 18), ('Alcista', 27), ('Alcista', 28)]",0,2,0,0,8,1.278,1.338,1.282,8.42,2.96,5.4602184087363375,85,65,2025-09-19 14:14:59.999,1.278,2025-09-19 10:14:59.999,1.298,Bajista,51,Bajista,80,46.15384615384655,38.46153846153851,4.0,Neutro
FIOUSDT,480,177851848.0,71709.0,"['Cuerpo_Lleno', 'N/A', 'Martillo']",127,5,96.06,"[('Bajista', 1), ('Alcista', 18), ('Alcista', 27)]",0,0,0,0,16,0.01743,0.01879,0.01765,10.54,1.25,9.29178470254959,101,97,2025-09-19 15:14:59.999,0.01754,2025-09-19 15:44:59.999,0.01774,Bajista,75,Bajista,51,53.84615384615302,60.37603370260543,8.0,Neutro
UMAUSDT,480,4457390.2,6698.9,"['Cuerpo_Lleno', 'N/A', 'N/A']",106,2,98.11,"[('Bajista', 1), ('Alcista', 48)]",0,0,0,0,16,1.303,1.379,1.316,5.4,1.44,3.9513677811550014,74,84,2025-09-19 15:14:59.999,1.306,2025-09-19 15:44:59.999,1.318,Bajista,51,Alcista,3,83.33333333333334,86.1111111111108,1.0,Sobre-compra
BELUSDT,480,23375926.9,9501.0,"['N/A', 'Cuerpo_Lleno', 'Martillo']",105,1,99.05,"[('Bajista', 1)]",0,0,0,0,27,0.2527,0.2636,0.2552,4.78,5.29,0.5094043887147102,95,89,2025-09-19 15:14:59.999,0.2528,2025-09-19 13:14:59.999,0.2558,Bajista,44,Alcista,2,79.99999999999852,75.55555555555456,27.0,Neutro
UNIUSDT,480,20998034.689999998,6599.55,"['N/A', 'Cuerpo_Lleno', 'N/A']",96,7,92.71,"[('Bajista', 0), ('Alcista', 27), ('Alcista', 28)]",0,0,0,0,16,9.075,9.44,9.164,6.22,1.57,4.648625054561329,113,99,2025-09-19 15:14:59.999,9.117,2025-09-19 14:44:59.999,9.168,Bajista,74,Alcista,2,85.86956521739123,76.4919011082696,2.0,Sobre-compra-K
OXTUSDT,480,65776875.0,12156.0,"['Doji', 'N/A', 'Cuerpo_Lleno']",64,1,98.44,"[('Alcista', 18)]",0,0,0,2,16,0.0519,0.0545,0.0523,6.5,2.1,4.3977055449330855,57,54,2025-09-19 14:59:59.999,0.0517,2025-09-19 09:44:59.999,0.0527,Bajista,51,Alcista,2,100.0,83.33333333333353,2.0,Sobre-compra
SUNUSDT,480,3467424845.0,1212528.0,"['N/A', 'N/A', 'N/A']",120,9,92.5,"[('Bajista', 0), ('Bajista', 11), ('Bajista', 129)]",0,0,0,0,30,0.02275,0.02721,0.02407,14.0,16.78,2.783547985043638,87,76,2025-09-19 15:14:59.999,0.02375,2025-09-19 14:44:59.999,0.02399,Alcista,195,Alcista,12,98.50746268656722,95.72423897461842,9.0,Sobre-compra
AVAXUSDT,480,27222931.5,7887.36,"['N/A', 'N/A', 'N/A']",93,8,91.4,"[('Bajista', 0), ('Alcista', 73), ('Bajista', 178)]",0,0,0,0,28,33.51,34.64,33.82,5.88,16.56,10.674157303370785,106,105,2025-09-19 15:44:59.999,33.66,2025-09-19 14:14:59.999,33.9,Alcista,204,Bajista,13,52.94117647058832,38.5620915032683,4.0,Neutro
